SID,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S4,Western,Завхан,MN81,Улиастай,MN8109,Улиастай,Sheep,1.83,1.64,1.5,1.57,4.56,7.6,8.2,8.58,8.36,8.41,8.51,11.39,9.33,11.57,12.26,16.34,10.42,11.45,12.46,19.63,34.24,36.77,48.98,52.27,63.31,66.11,63.39,62,47.24,41.68,39.84,25.6,21.76,25.82,27.72,27.74,35.5,42.94,52.99,51.47,23.94,37.81,33.08,39.02,46.76,50.7,54.16,53.77,56.79,66.69,62.55
S11,Western,Завхан,MN81,Алдархаан,MN8119,Алдархаан,Sheep,80.37,84.41,83.57,84.77,85.3,89.3,90.21,74.44,81.53,84.33,88.88,82.41,88.81,83.38,76.93,77.46,77.04,80.45,75.46,82.72,85.5,89.28,89.62,69.19,71.87,71.38,70.04,73.87,75.09,71.86,58.89,47.94,46.85,46.42,53.5,53.98,67.38,85.59,98.75,94.34,35.57,37.54,51.16,61.05,73.6,82.24,99.21,114.51,114.17,118.15,108.61
S18,Western,Завхан,MN81,Асгат,MN8117,Асгат,Sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,10.99,12.12,13.89,17.7,20.29,20.26,19.13,19.31,17.32,14.85,14.3,14.74,12.38,11.69,7.86,9.55,9.96,10.72,12.19,15.5,20.09,22.43,16.98,13.04,13.58,16.89,19.12,20.85,20.86,21.26,21.45,25.1,24.94,21.66
S22,Western,Завхан,MN81,Баянтэс,MN8116,Баянтэс,Sheep,35.35,38.2,38.56,67.16,64,62.14,72.08,75.74,83.44,84.05,81.4,69.96,58.77,60.83,61.83,54.74,60.32,63.31,67.88,72.46,78.94,46.21,47.67,45.93,49.12,45.08,39.86,36.41,40.46,28.12,30.94,29.77,32.14,28.73,33.4,41.85,51.93,57.81,61.69,45.98,29.76,32.41,36.58,40.26,49.18,53.35,55.8,63.33,68.82,76.5,64.85
S27,Western,Завхан,MN81,Баянхайрхан,MN8118,Баянхайрхан,Sheep,55.53,57.97,56.25,53.65,46.14,45.77,49.37,49.23,54.44,56.55,59.92,51.34,52.08,53.1,53.63,51.94,44.19,44.12,46.78,52.67,56.86,49.86,44.92,44.29,47.12,49.56,49.45,52.26,49.7,43.69,39.17,28.95,31.26,33.87,40.72,43.86,48.21,52.81,55.51,59.05,49.11,50.47,53.23,60.1,65.66,64.39,60.3,60.24,65.67,72.48,67.72
S32,Western,Завхан,MN81,Дөрвөлжин,MN8128,Дөрвөлжин,Sheep,46.65,50.59,54.38,49.72,48.86,49.73,51.8,46.51,49.7,41.63,41.83,42.22,45.94,41.32,40.53,43.56,44.5,47.56,49.42,50,54.12,54.52,60.9,62.35,62.45,62.46,60.92,59.75,58.51,58.94,53.09,45.97,34.02,35.3,41.84,45.36,50.81,59.68,63.53,51.02,36.76,37.75,42.49,47.73,56.01,61.96,74.28,82.47,56.02,63.67,64.4
S38,Western,Завхан,MN81,Завханмандал,MN8127,Завханмандал,Sheep,45.04,46.53,49.59,46.8,44.08,45.95,46.29,37.77,41.53,40.1,40.86,40.46,46.04,43.39,39.49,38.59,32.03,33.85,35.12,36.46,38.72,39,43.12,46.89,46.74,47.47,44.61,47.55,50.54,53.08,35.74,35.88,37.72,37.76,43.33,46.29,55.71,63.52,49.99,30.71,26.97,29.08,33.16,37.33,45.4,48.59,58.63,61.4,41.35,44.41,44.87
S43,Western,Завхан,MN81,Идэр,MN8106,Идэр,Sheep,31.46,33.56,33.36,34.44,34.6,36.95,39.7,43.75,48.54,48.54,49.72,47.69,49.37,44.51,43.92,46.03,46.53,49.19,45.82,49.32,51.96,52.99,43.97,34.16,35.5,33.07,37.5,42.09,44.19,45.75,40.7,25.36,20.05,20.45,27.01,34.81,43.33,54.24,63.9,52.77,34.67,39.8,44.52,48.02,56.79,60.9,69.33,71.49,71.2,68.43,70.46
S48,Western,Завхан,MN81,Их-Уул,MN8101,Их-Уул,Sheep,35.87,39.25,42.06,43.96,43.46,46.7,44.71,32.83,37.09,41.79,46.64,48.5,52.37,53.21,55.63,56.9,57.89,58.7,59.14,62.21,63.37,55.34,59.03,56.15,58.22,57.63,59.06,58.12,56.48,55.14,48.88,29.81,29.1,31.45,36.78,44.84,54.53,65.1,78.57,88.3,65.53,73.84,91.49,104.31,121.17,124.87,140.84,146.38,160.27,168.75,139.65
S55,Western,Завхан,MN81,Нөмрөг,MN8111,Нөмрөг,Sheep,40.45,41.23,40.86,41.42,43.67,42.77,46.36,45.15,48.7,52.19,53.52,49.43,51.96,52.73,52.26,55.73,55.56,58.28,58.87,65.13,63.48,49.79,43.75,42.32,44.31,46.99,49.63,54.12,56.22,49.14,36.39,15.61,15.03,19.54,22.91,31.05,41.69,54.95,65.58,62.22,30.17,35.96,41.66,49.51,57.37,59.48,67.2,59.46,62.7,71.93,65.7
